[2026-05-24T13:28:14.816Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K4.woff2 → 200 (?ms, ?B)
[2026-05-24T13:28:14.821Z] GET https://onlinekurs.faszienpraxis-fech.de/brand/fech-logo-white.svg → 304 (31ms, ?B)
[2026-05-24T13:28:14.851Z] GET https://onlinekurs.faszienpraxis-fech.de/?_rsc=KRGxCjab6rer05fJ → 200 (69ms, 6548B)
[2026-05-24T13:28:14.851Z] GET https://onlinekurs.faszienpraxis-fech.de/kurse?_rsc=KRGxCjab6rer05fJ → 200 (179ms, 152B)
[2026-05-24T13:28:14.851Z] GET https://onlinekurs.faszienpraxis-fech.de/login?_rsc=KRGxCjab6rer05fJ → 200 (60ms, 5893B)
[2026-05-24T13:28:14.851Z] GET https://onlinekurs.faszienpraxis-fech.de/impressum?_rsc=KRGxCjab6rer05fJ → 200 (54ms, 6055B)
[2026-05-24T13:28:14.906Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/page-ab8c65c96ab38983.js → 200 (?ms, 223B)
[2026-05-24T13:28:14.912Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/login/page-370d8955196930b4.js → 200 (1ms, 3104B)
[2026-05-24T13:28:42.574Z] GET https://onlinekurs.faszienpraxis-fech.de/login → 200 (74ms, 19009B)
[2026-05-24T13:28:42.654Z] GET https://onlinekurs.faszienpraxis-fech.de/brand/fech-logo-full-color.svg → 304 (31ms, ?B)
[2026-05-24T13:28:42.654Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/css/e28531bd46066088.css → 200 (?ms, 39728B)
[2026-05-24T13:28:42.655Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/webpack-d282787ed3063711.js → 200 (2ms, 3849B)
[2026-05-24T13:28:42.658Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/4bd1b696-f785427dddbba9fb.js → 200 (?ms, 173020B)
[2026-05-24T13:28:42.658Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/1255-54db5ed0e8936ec8.js → 200 (?ms, 173372B)
[2026-05-24T13:28:42.658Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/main-app-5eb0d9c55a395822.js → 200 (?ms, 560B)
[2026-05-24T13:28:42.658Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/layout-3893764c94d441da.js → 200 (?ms, 9671B)
[2026-05-24T13:28:42.658Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/2f03f4a8-158b75fb48af17d1.js → 200 (?ms, 59062B)
[2026-05-24T13:28:42.659Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/2619-6352ef9022ea9a44.js → 200 (?ms, 8538B)
[2026-05-24T13:28:42.659Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/4909-a6ccb82e391d8f86.js → 200 (?ms, 20148B)
[2026-05-24T13:28:42.659Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/6669-69475ca7c8918c3a.js → 200 (1ms, 180354B)
[2026-05-24T13:28:42.660Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/login/page-370d8955196930b4.js → 200 (?ms, 3104B)
[2026-05-24T13:28:42.660Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/1356-3b7aebca09f74df8.js → 200 (?ms, 13553B)
[2026-05-24T13:28:42.660Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/layout-d8f539259ae52c23.js → 200 (?ms, 16584B)
[2026-05-24T13:28:42.661Z] GET https://fonts.googleapis.com/css2?family=Cormorant+Garamond:ital,wght@0,300;0,400;0,600;1,300;1,400&family=DM+Sans:wght@300;400;500;600&display=swap → 200 (?ms, 13594B)
[2026-05-24T13:28:42.665Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSo.woff2 → 200 (?ms, ?B)
[2026-05-24T13:28:42.665Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYqXtK.woff2 → 200 (?ms, ?B)
[2026-05-24T13:28:42.665Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K4.woff2 → 200 (?ms, ?B)
[2026-05-24T13:28:42.670Z] GET https://onlinekurs.faszienpraxis-fech.de/brand/fech-logo-white.svg → 304 (33ms, ?B)
[2026-05-24T13:28:42.687Z] GET https://onlinekurs.faszienpraxis-fech.de/?_rsc=faTx_DqyXTFuF13t → 200 (67ms, 6548B)
[2026-05-24T13:28:42.687Z] GET https://onlinekurs.faszienpraxis-fech.de/kurse?_rsc=faTx_DqyXTFuF13t → 200 (174ms, 152B)
[2026-05-24T13:28:42.687Z] GET https://onlinekurs.faszienpraxis-fech.de/register?_rsc=faTx_DqyXTFuF13t → 200 (59ms, 5734B)
[2026-05-24T13:28:42.687Z] GET https://onlinekurs.faszienpraxis-fech.de/reset-password?_rsc=faTx_DqyXTFuF13t → 200 (56ms, 5079B)
[2026-05-24T13:28:42.687Z] GET https://onlinekurs.faszienpraxis-fech.de/impressum?_rsc=faTx_DqyXTFuF13t → 200 (67ms, 6055B)
[2026-05-24T13:28:42.743Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/page-ab8c65c96ab38983.js → 200 (1ms, 223B)
[2026-05-24T13:28:42.744Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/reset-password/page-3221ca09a1e7743e.js → 200 (?ms, 6238B)
[2026-05-24T13:28:42.744Z] GET https://onlinekurs.faszienpraxis-fech.de/datenschutz?_rsc=faTx_DqyXTFuF13t → 200 (79ms, 7125B)
[2026-05-24T13:28:42.748Z] GET https://onlinekurs.faszienpraxis-fech.de/_next/static/chunks/app/(public)/register/page-98612ed8383af695.js → 200 (?ms, 4089B)
[2026-05-24T13:28:42.748Z] GET https://onlinekurs.faszienpraxis-fech.de/agb?_rsc=faTx_DqyXTFuF13t → 200 (57ms, 6629B)
